program                       A
declaration-list              B
declaration                   C
variable-declaration          D
type-specifier                E
struct-specifier              F
optional-identifier           G
struct-declaration-list       H
function-declaration          I
parameters                    J
parameter-list                K
parameter                     L
compound-statement            M
local-declarations            N
statement-list                O
statement                     P
expression-statement          Q
optional-expression           R
selection-statement           S
iteration-statement           T
jump-statement                U
labeled-statement             V
expression                    W
assignment-expression         X
variable                      Y
conditional-expression        Z
relation-operator             AA
additive-expression           AB
add-operator                  AC
multiplicative-expression     AD
mul-operator                  AE
primary-expression            AF
call-function                 AG
arguments                     AH
argument-list                 AI
